2026-09-24 03:46:35 | INFO | ✓ 140/9000 | Queue: 170 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:36 | INFO | ✓ 141/9000 | Queue: 168 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:39 | INFO | ✓ 142/9000 | Queue: 167 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:41 | INFO | ✓ 143/9000 | Queue: 164 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:43 | INFO | ✓ 144/9000 | Queue: 163 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:44 | INFO | ✓ 145/9000 | Queue: 162 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:45 | INFO | ✓ 146/9000 | Queue: 164 | ✅ https://www.mamypoko.com.tw/news.php...
2026-09-24 03:46:47 | INFO | ✓ 147/9000 | Queue: 163 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:49 | INFO | ✓ 148/9000 | Queue: 162 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:51 | INFO | ✓ 149/9000 | Queue: 161 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:53 | INFO | ✓ 150/9000 | Queue: 160 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:54 | INFO | ✓ 151/9000 | Queue: 159 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:56 | INFO | ✓ 152/9000 | Queue: 158 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:46:57 | INFO | ✓ 153/9000 | Queue: 157 | ⚠️ https://www.mamypoko.com.tw/knowledge_02_06.php...
2026-09-24 03:46:59 | INFO | ✓ 154/9000 | Queue: 156 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:01 | INFO | ✓ 155/9000 | Queue: 154 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:03 | INFO | ✓ 156/9000 | Queue: 153 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:06 | INFO | ✓ 157/9000 | Queue: 152 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:07 | INFO | ✓ 158/9000 | Queue: 151 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:09 | INFO | ✓ 159/9000 | Queue: 150 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:10 | INFO | ✓ 160/9000 | Queue: 149 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:12 | INFO | ✓ 161/9000 | Queue: 147 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:14 | INFO | ✓ 162/9000 | Queue: 153 | ✅ https://www.mamypoko.com.tw/product_04.php...
2026-09-24 03:47:15 | INFO | ✓ 163/9000 | Queue: 152 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:17 | INFO | ✓ 164/9000 | Queue: 151 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:18 | INFO | ✓ 165/9000 | Queue: 146 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:20 | INFO | ✓ 166/9000 | Queue: 134 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:22 | INFO | ✓ 167/9000 | Queue: 128 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:23 | INFO | ✓ 168/9000 | Queue: 127 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:25 | INFO | ✓ 169/9000 | Queue: 126 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:26 | INFO | ✓ 170/9000 | Queue: 124 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:28 | INFO | ✓ 171/9000 | Queue: 123 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:30 | INFO | ✓ 172/9000 | Queue: 122 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:32 | INFO | ✓ 173/9000 | Queue: 121 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:33 | INFO | ✓ 174/9000 | Queue: 120 | ⚠️ https://www.mamypoko.com.tw/knowledge_01_0%CB%87.p...
2026-09-24 03:47:35 | INFO | ✓ 175/9000 | Queue: 119 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:37 | INFO | ✓ 176/9000 | Queue: 164 | ✅ https://www.mamypoko.com.tw/tkopen/2020.html...
2026-09-24 03:47:39 | INFO | ✓ 177/9000 | Queue: 195 | ✅ https://www.mamypoko.com.tw/oyasumiman/2022.html...
2026-09-24 03:47:41 | INFO | ✓ 178/9000 | Queue: 188 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:44 | INFO | ✓ 179/9000 | Queue: 186 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:46 | INFO | ✓ 180/9000 | Queue: 185 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:47 | INFO | ✓ 181/9000 | Queue: 184 | ⚠️ https://www.mamypoko.com.tw/hospital_hosptital.php...
2026-09-24 03:47:48 | INFO | ✓ 182/9000 | Queue: 183 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:50 | INFO | ✓ 183/9000 | Queue: 182 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:53 | INFO | ✓ 184/9000 | Queue: 181 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:54 | INFO | ✓ 185/9000 | Queue: 180 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:55 | INFO | ✓ 186/9000 | Queue: 179 | ⚠️ https://www.mamypoko.com.tw/product_01_02.php...
2026-09-24 03:47:57 | INFO | ✓ 187/9000 | Queue: 173 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:47:58 | INFO | ✓ 188/9000 | Queue: 170 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:00 | INFO | ✓ 189/9000 | Queue: 169 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:02 | INFO | ✓ 190/9000 | Queue: 168 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:04 | INFO | ✓ 191/9000 | Queue: 167 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:06 | INFO | ✓ 192/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:07 | INFO | ✓ 193/9000 | Queue: 165 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:10 | INFO | ✓ 194/9000 | Queue: 164 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:12 | INFO | ✓ 195/9000 | Queue: 163 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:13 | INFO | ✓ 196/9000 | Queue: 162 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:15 | INFO | ✓ 197/9000 | Queue: 161 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:17 | INFO | ✓ 198/9000 | Queue: 160 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:19 | INFO | ✓ 199/9000 | Queue: 159 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:21 | INFO | ✓ 200/9000 | Queue: 158 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:21 | INFO | Checkpoint saved: 200 visited, 158 queued
2026-09-24 03:48:23 | INFO | ✓ 201/9000 | Queue: 157 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:25 | INFO | ✓ 202/9000 | Queue: 156 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:48:27 | INFO | ✓ 203/9000 | Queue: 155 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
